year,month,value
1421,1,6.9542289806619325e-6
1421,2,3.941641365597021e-6
1421,3,6.526840517221907e-6
1421,4,9.156130164836922e-6
1421,5,-1.939806943286541e-7
1421,6,-1.2817160541550837e-7
1421,7,4.03114426674706e-7
1421,8,1.2547698765944367e-6
1421,9,8.5530714572446e-6
1421,10,6.525268182152651e-6
1421,11,6.009953864490839e-6
1421,12,8.539002975980102e-7
1422,1,9.142831363446423e-6
1422,2,-2.9993123482628527e-6
1422,3,3.257479380939223e-6
1422,4,2.2219752469257717e-6
1422,5,2.149114605044971e-6
1422,6,1.5883437439008785e-6
1422,7,9.279396476437809e-7
1422,8,9.700285219246208e-7
1422,9,1.0007834009954488e-5
1422,10,1.4480257729225064e-5
1422,11,6.266242071549137e-6
1422,12,3.4176037389388233e-6
1423,1,1.2327754515190279e-5
1423,2,7.758180990136285e-6
1423,3,6.719330638658633e-6
1423,4,4.447687841600511e-6
1423,5,5.317169451757809e-6
1423,6,9.849594609626108e-7
1423,7,7.842067487434111e-7
1423,8,1.2006191798345737e-6
1423,9,8.911101092546907e-6
1423,10,1.3131380568084047e-5
1423,11,2.9096072550294046e-6
1423,12,7.366995432662677e-6
1424,1,9.082328617168547e-6
1424,2,7.6247751044648395e-6
1424,3,1.0182885063688581e-5
1424,4,5.429797069746773e-6
1424,5,4.7062590774825875e-6
1424,6,-1.703749771838377e-7
1424,7,3.796685826948224e-7
1424,8,2.9198073211847e-6
1424,9,6.587076356038513e-6
1424,10,1.0493824619115395e-5
1424,11,5.455172417151633e-6
1424,12,4.971459051244957e-6
1425,1,1.0515982116981979e-5
1425,2,3.215029777869759e-8
1425,3,3.459483650682022e-6
1425,4,4.511348167219091e-6
1425,5,6.623510876762548e-6
1425,6,1.7823933563122842e-6
1425,7,4.527551656885441e-7
1425,8,1.2408139757457062e-6
1425,9,5.997082803752289e-6
1425,10,2.671697403179814e-6
1425,11,1.3206056031971291e-6
1425,12,6.13908319366219e-6
1426,1,8.078701981250766e-6
1426,2,3.3116069962539093e-6
1426,3,7.540904243578041e-6
1426,4,6.780674833990424e-6
1426,5,7.587046230950893e-6
1426,6,3.052292715674468e-6
1426,7,7.363177910272742e-7
1426,8,1.1425616065434664e-6
1426,9,4.670824311268106e-6
1426,10,3.96992033876222e-6
1426,11,1.4899793586713414e-5
1426,12,4.69793722067233e-7
1427,1,3.6870580409988815e-6
1427,2,1.2190186359323091e-5
1427,3,7.473620445809683e-6
1427,4,1.5218032336293135e-6
1427,5,2.2157793469277174e-6
1427,6,2.6577871451174875e-7
1427,7,6.180816876667971e-7
1427,8,1.0781479759473822e-6
1427,9,5.390905250798409e-6
1427,10,7.64219533186286e-6
1427,11,7.017731085995274e-6
1427,12,4.747344428107748e-6
1428,1,1.1071507573980957e-5
1428,2,4.55363489213797e-6
1428,3,5.4056190382115535e-6
1428,4,4.92883502345318e-6
1428,5,5.813906522018774e-6
1428,6,4.507986157343289e-7
1428,7,5.078844437064313e-7
1428,8,1.3138260654424638e-6
1428,9,4.1671809204418165e-6
1428,10,1.4696482124285822e-5
1428,11,7.291277488464771e-6
1428,12,2.4060367925581604e-6
1429,1,7.953620811443783e-6
1429,2,1.9795830190277484e-6
1429,3,6.297680409183215e-6
1429,4,4.087652417372899e-6
1429,5,4.779398795054716e-6
1429,6,-2.906998844489375e-8
1429,7,5.097199648327077e-7
1429,8,1.312177164214662e-6
1429,9,5.633782123691144e-6
1429,10,1.075652528535504e-5
1429,11,2.177692758727094e-6
1429,12,7.691686595955344e-6
1430,1,2.339652816920698e-6
1430,2,1.2559735978236806e-5
1430,3,1.355566358175897e-5
1430,4,3.6855085965351605e-6
1430,5,1.1452016018724563e-5
1430,6,1.4954742007324746e-6
1430,7,6.561336000444066e-7
1430,8,5.397656167918697e-7
1430,9,5.822359482903397e-6
1430,10,2.855617811400091e-6
1430,11,-3.941347169586297e-6
1430,12,2.2943276445482545e-6
1431,1,7.067309166502263e-6
1431,2,1.7864251484665971e-6
1431,3,9.27480364915378e-6
1431,4,7.499472351919646e-6
1431,5,1.1668776672799236e-5
1431,6,-1.0494506063483595e-6
1431,7,2.781130473244302e-7
1431,8,8.533513794646547e-7
1431,9,8.643520825731618e-6
1431,10,4.141742937769654e-6
1431,11,4.824283487714605e-6
1431,12,2.414961042112308e-6
1432,1,9.678541175879454e-6
1432,2,1.07808705580802e-5
1432,3,3.994410006900675e-6
1432,4,5.710515146818052e-6
1432,5,2.608465817329147e-6
1432,6,1.1952956167536164e-6
1432,7,7.302501134426222e-7
1432,8,1.6634232095469767e-6
1432,9,6.9616571375433975e-6
1432,10,4.99093747912609e-6
1432,11,2.75472555935787e-6
1432,12,-2.798098522371126e-7
1433,1,6.06097620321719e-6
1433,2,1.0369319685591166e-5
1433,3,7.990058496453271e-7
1433,4,5.244569347717148e-6
1433,5,9.201889636405849e-6
1433,6,6.331039056954899e-7
1433,7,1.1869812857086803e-6
1433,8,6.25879291019782e-7
1433,9,4.92402297339734e-6
1433,10,6.408657430067786e-6
1433,11,1.8756359467855951e-06
1433,12,6.659871758165279e-6
1434,1,6.267960992987204e-6
1434,2,1.0315733222756789e-5
1434,3,7.79082662771063e-6
1434,4,8.070455602509047e-6
1434,5,4.68136073557191e-6
1434,6,-3.1405095194188057e-8
1434,7,3.000039576953349e-7
1434,8,1.3523646250958099e-6
1434,9,8.182707264407214e-6
1434,10,8.772356130745963e-6
1434,11,6.301682935452862e-6
1434,12,4.673433171592088e-6
1435,1,3.6003887503681742e-6
1435,2,8.827172513945466e-6
1435,3,5.286842172980389e-6
1435,4,3.932853036532255e-6
1435,5,2.4081176555288713e-6
1435,6,-3.9117941422695155e-7
1435,7,3.5566090363743834e-7
1435,8,1.0637665591247665e-6
1435,9,5.166772159977006e-6
1435,10,1.0814561612414453e-5
1435,11,6.950493541906191e-6
1435,12,5.007791015457778e-6
1436,1,9.89581172152884e-6
1436,2,7.2629917390043e-6
1436,3,7.1502808634936e-6
1436,4,9.634966548656415e-6
1436,5,3.5858088170922365e-6
1436,6,2.363955789531394e-6
1436,7,3.982436417730919e-7
1436,8,1.9238468156395944e-6
1436,9,4.801428369185039e-6
1436,10,1.4990951566381e-6
1436,11,3.3670468540935265e-8
1436,12,3.919876911453518e-6
1437,1,6.117925239158134e-6
1437,2,4.470363426942619e-6
1437,3,-9.718515095802836e-7
1437,4,3.909020754261483e-6
1437,5,2.2113987914844784e-6
1437,6,1.1684635937754907e-6
1437,7,3.453660403014898e-7
1437,8,7.450689436678088e-7
1437,9,7.27552601400657e-6
1437,10,6.237358101254537e-6
1437,11,8.710136753667197e-6
1437,12,8.155044333370719e-6
1438,1,1.0630252275507794e-5
1438,2,1.0016810506939913e-5
1438,3,1.6974384473049908e-6
1438,4,3.0968572786173517e-6
1438,5,-2.8670535168342173e-8
1438,6,-5.454806805103608e-7
1438,7,-8.699535877573063e-9
1438,8,1.292114540551351e-6
1438,9,7.794548666656752e-6
1438,10,1.6124183524982704e-5
1438,11,6.225705196163407e-6
1438,12,7.090112466206204e-6
1439,1,7.765302279188474e-6
1439,2,9.66802873689602e-6
1439,3,9.176300806470293e-6
1439,4,3.799946265588115e-7
1439,5,4.056272660302787e-7
1439,6,1.5045462130289209e-6
1439,7,2.088759750184282e-7
1439,8,1.1330618620095657e-6
1439,9,5.0066265212517336e-6
1439,10,1.1832890872820002e-5
1439,11,2.770600024352234e-6
1439,12,7.478712862540653e-6
1440,1,1.1311171148869181e-5
1440,2,5.1543494459238585e-6
1440,3,2.7898306932527515e-6
1440,4,2.9239000769162753e-6
1440,5,2.394884114782111e-6
1440,6,8.776509988179767e-7
1440,7,1.5364444433730382e-6
1440,8,1.0002040625242218e-6
1440,9,7.982075073812146e-6
1440,10,1.5351984704375642e-5
1440,11,7.868518243105934e-6
1440,12,-4.393293652483464e-7
1441,1,9.734811314144829e-6
1441,2,1.0203943682567518e-5
1441,3,4.8849318056865936e-6
1441,4,2.527589526802842e-6
1441,5,8.204687408865851e-7
1441,6,1.1715803216880237e-6
1441,7,1.3410615594995042e-7
1441,8,9.839632506647145e-7
1441,9,5.565835144533451e-6
1441,10,9.352200060975498e-6
1441,11,1.0998466772147493e-5
1441,12,7.975351765988699e-6
1442,1,5.227424316804393e-6
1442,2,7.879920723686337e-7
1442,3,7.104118758728287e-6
1442,4,7.49683459332114e-6
1442,5,2.722544580454539e-6
1442,6,1.955753936839013e-6
1442,7,4.037655087077028e-7
1442,8,1.5066577324403918e-6
1442,9,7.426388697682725e-6
1442,10,6.3530467749227615e-6
1442,11,4.117808689353075e-6
1442,12,1.5341615594758377e-5
1443,1,7.719372704024303e-6
1443,2,5.079394593818907e-6
1443,3,1.4449548370001881e-6
1443,4,1.1785125221192336e-6
1443,5,4.115830512202142e-6
1443,6,2.5501176490483142e-6
1443,7,6.987595440547817e-7
1443,8,1.0086312525765836e-6
1443,9,2.7444390672514213e-6
1443,10,9.559460515596293e-6
1443,11,5.566346211031153e-7
1443,12,-4.231455329833798e-7
1444,1,4.426963810570923e-6
1444,2,1.0625277086707285e-5
1444,3,7.36823328038761e-6
1444,4,4.05625663228789e-6
1444,5,5.427242068109007e-6
1444,6,3.6918452070289e-7
1444,7,4.566778761131595e-7
1444,8,1.0426631254763848e-6
1444,9,9.354731191275207e-6
1444,10,7.804188763345993e-6
1444,11,6.239448420237819e-6
1444,12,1.9658252592030034e-6
1445,1,9.49042327557544e-6
1445,2,8.962217430381205e-6
1445,3,2.1318694491883843e-6
1445,4,3.7437343806951024e-6
1445,5,-1.949525056879959e-6
1445,6,-3.069984873876096e-7
1445,7,5.160224428962052e-7
1445,8,8.702509975716621e-7
1445,9,7.348190205970682e-6
1445,10,3.884602042812333e-6
1445,11,1.6581714591660885e-5
1445,12,3.9393198186682576e-6
1446,1,4.164929440391308e-6
1446,2,3.04003551886009e-6
1446,3,7.268484097998348e-6
1446,4,-1.0354439126156366e-6
1446,5,8.47948044031931e-7
1446,6,-3.9068448463271504e-7
1446,7,5.29929308984267e-7
1446,8,1.3053742458599287e-6
1446,9,8.096144019287602e-6
1446,10,6.133485743281748e-7
1446,11,1.8561882260110946e-6
1446,12,8.407612247918809e-6
1447,1,1.3089880206740548e-5
1447,2,8.297658989280291e-6
1447,3,2.282850964307976e-6
1447,4,-7.344286282587605e-7
1447,5,-2.7719244368243517e-6
1447,6,-9.707662124855624e-7
1447,7,8.93218002021476e-7
1447,8,1.484420156794659e-6
1447,9,7.1012259139053064e-6
1447,10,1.1535713120643612e-5
1447,11,5.170373934495848e-6
1447,12,3.5592328811044365e-6
1448,1,9.444553313684087e-6
1448,2,2.4284761550383745e-6
1448,3,2.8775180456122965e-6
1448,4,1.1544305649209387e-6
1448,5,-2.2199510561175227e-6
1448,6,-1.504822255587545e-6
1448,7,4.420067669296603e-7
1448,8,1.6414649770228582e-6
1448,9,9.275500374592748e-6
1448,10,8.20419446150758e-6
1448,11,5.290611768861717e-6
1448,12,3.9919278800266055e-6
1449,1,2.824060622244703e-6
1449,2,7.967334261772577e-6
1449,3,2.807884872087956e-6
1449,4,1.0241271821712103e-6
1449,5,4.5124729297843855e-6
1449,6,2.732033851880537e-6
1449,7,3.575384986444448e-7
1449,8,7.5445973105417e-7
1449,9,4.439314612116384e-6
1449,10,1.219366644033077e-5
1449,11,8.519557514313125e-6
1449,12,6.919137507707887e-6
1450,1,1.3891137348422184e-6
1450,2,6.670668813735463e-6
1450,3,8.632440599708332e-6
1450,4,7.2828494627786715e-6
1450,5,2.295790741575678e-6
1450,6,1.652507283203596e-6
1450,7,6.437426739011657e-7
1450,8,1.7848982819849605e-6
1450,9,7.76490202891344e-6
1450,10,1.601677480060317e-5
1450,11,1.38515431426919e-7
1450,12,3.965315860971758e-6
1451,1,1.1686687434660007e-5
1451,2,5.046014873311791e-6
1451,3,4.860649295856454e-6
1451,4,1.0584690631089151e-5
1451,5,7.394903819701272e-6
1451,6,2.2403220981362646e-6
1451,7,1.0507624898077094e-6
1451,8,1.368830809002984e-6
1451,9,5.06195903589618e-6
1451,10,7.778003135359232e-6
1451,11,1.0701856547963973e-5
1451,12,6.691837007824271e-6
1452,1,6.236802154002048e-6
1452,2,3.511151995398294e-6
1452,3,3.9594594038196245e-7
1452,4,1.2088713085270928e-6
1452,5,3.4602910673303166e-6
1452,6,1.4024945795510102e-6
1452,7,2.909222360409156e-7
1452,8,1.3857477665032417e-6
1452,9,3.6134977672332198e-6
1452,10,7.304564134100833e-6
1452,11,8.083584861102916e-6
1452,12,8.002112463757605e-6
1453,1,1.706962470875105e-5
1453,2,1.1740715473417646e-5
1453,3,-5.745179924186448e-7
1453,4,3.175789028292257e-6
1453,5,-1.2966614831041907e-6
1453,6,-8.346889463827585e-7
1453,7,3.135745562598704e-7
1453,8,2.1222167276424076e-6
1453,9,5.62083958021142e-6
1453,10,9.7403344947318e-6
1453,11,6.5090142769470036e-6
1453,12,1.3208092602332918e-6
1454,1,6.573342357543285e-6
1454,2,5.634263277359297e-6
1454,3,6.8901146074018846e-6
1454,4,1.318677157971289e-5
1454,5,-9.22065116268543e-8
1454,6,6.135512889710892e-7
1454,7,9.178212077073211e-7
1454,8,1.837764295188053e-6
1454,9,3.821443847660306e-6
1454,10,1.0278068985453045e-5
1454,11,9.767882013956588e-6
1454,12,4.184830981708118e-6
1455,1,5.573094906428627e-6
1455,2,2.069244876270648e-6
1455,3,4.336457266880826e-6
1455,4,6.013019157697822e-6
1455,5,6.949596066356664e-6
1455,6,9.537005303660924e-7
1455,7,7.574626217514854e-7
1455,8,1.3370615763666186e-6
1455,9,8.020829304240864e-6
1455,10,1.1478772296408993e-5
1455,11,6.038615224366803e-6
1455,12,8.809808176237661e-6
1456,1,1.2680932964995421e-5
1456,2,6.251677156806038e-6
1456,3,2.419926964551658e-7
1456,4,4.023273533648626e-6
1456,5,-1.1391187845777292e-6
1456,6,-9.603200676042348e-8
1456,7,8.032369622681619e-7
1456,8,1.4331932825852416e-6
1456,9,1.088024465295883e-5
1456,10,1.0432426961788032e-5
1456,11,1.2045276763232904e-5
1456,12,3.987581725869406e-6
1457,1,1.3450065025547457e-5
1457,2,7.504129033494358e-6
1457,3,4.723916157701939e-6
1457,4,4.529995532955101e-6
1457,5,7.984358753986035e-6
1457,6,1.2858804282729924e-6
1457,7,5.801388781718121e-7
1457,8,8.910073963641769e-7
1457,9,4.090481441900652e-6
1457,10,1.5000059336047549e-5
1457,11,1.3626186766164659e-5
1457,12,4.758467883352736e-7
1458,1,8.240209632595065e-6
1458,2,1.0704852840405362e-5
1458,3,-2.480093244518013e-6
1458,4,6.022087413901519e-6
1458,5,3.378658998025853e-6
1458,6,7.063405292353115e-6
1458,7,2.0027986178600867e-6
1458,8,1.677973959793647e-6
1458,9,5.494708646658649e-6
1458,10,-4.3074714633611e-6
1458,11,-1.3852459185758255e-6
1458,12,-5.50365470333464e-6
1459,1,-1.0742220898290373e-6
1459,2,-2.1065692322529898e-6
1459,3,-1.1159716372446892e-5
1459,4,-1.409635188076178e-6
1459,5,6.844316869428359e-7
1459,6,2.5481460737572533e-6
1459,7,7.99515543454242e-7
1459,8,1.0216142846876932e-6
1459,9,6.920648600589161e-6
1459,10,6.748552713212094e-6
1459,11,1.5138957742210332e-6
1459,12,6.6316174303010525e-6
1460,1,4.143100842953804e-6
1460,2,3.879364657559868e-6
1460,3,7.858324390151562e-7
1460,4,9.826576957744796e-6
1460,5,1.4561566946833863e-6
1460,6,3.964588362305275e-7
1460,7,6.137243854958791e-7
1460,8,1.5529063251573086e-6
1460,9,1.0830824741004572e-5
1460,10,1.322616574942411e-5
1460,11,6.598263576386533e-6
1460,12,3.1195906608431037e-6
1461,1,5.510810541245817e-6
1461,2,8.025296403060667e-6
1461,3,6.945851037256856e-6
1461,4,7.005557970983114e-6
1461,5,3.6376866234687355e-6
1461,6,1.428617551813711e-6
1461,7,5.115350183613219e-7
1461,8,1.008108449044548e-6
1461,9,8.765143558345204e-6
1461,10,8.056458828044244e-6
1461,11,6.127374216392102e-6
1461,12,2.011427734846186e-6
1462,1,4.925971100332766e-6
1462,2,4.083919012503967e-6
1462,3,4.987670115968106e-7
1462,4,3.928892599774352e-6
1462,5,1.1279027366855565e-6
1462,6,5.763336322618084e-7
1462,7,8.378379833500259e-7
1462,8,1.0731787955298437e-6
1462,9,5.155095788509881e-6
1462,10,1.6028025762388597e-5
1462,11,5.103695837138943e-6
1462,12,2.0091799777943414e-6
1463,1,1.655170391786736e-5
1463,2,2.8503890447886693e-6
1463,3,7.390525200441812e-6
1463,4,1.7912891509818437e-6
1463,5,2.5939778036652988e-6
1463,6,1.2199639842623125e-6
1463,7,1.9373954183790197e-6
1463,8,7.44846950695142e-7
1463,9,9.221907949470194e-6
1463,10,1.4699511119868783e-5
1463,11,3.75040990959676e-6
1463,12,-3.456726039661307e-6
1464,1,6.58366275797311e-6
1464,2,-1.0331375566366884e-6
1464,3,4.7452471623284623e-7
1464,4,5.700065864310817e-6
1464,5,2.8266233359383776e-6
1464,6,4.6846803330722173e-7
1464,7,4.0728399253453164e-7
1464,8,1.247772428442778e-6
1464,9,6.095733679116802e-6
1464,10,8.173604819662865e-6
1464,11,8.264326972555445e-6
1464,12,5.129308333030157e-6
1465,1,9.837270214253378e-6
1465,2,7.816868324097776e-6
1465,3,3.468159619299013e-6
1465,4,7.431831514541882e-6
1465,5,3.3239690811491856e-6
1465,6,5.179992856465709e-7
1465,7,1.142359342125158e-6
1465,8,1.1173714632553292e-6
1465,9,8.667467444360577e-6
1465,10,9.42568766990035e-6
1465,11,7.835923527899007e-6
1465,12,1.3357259808614648e-5
1466,1,7.536354755641015e-6
1466,2,6.2822795406398765e-6
1466,3,5.765298743632126e-7
1466,4,1.5113704860413703e-6
1466,5,-5.786668034362808e-7
1466,6,1.390307778996143e-6
1466,7,2.7921444322230077e-7
1466,8,7.566844237082123e-7
1466,9,3.0371465161843447e-6
1466,10,1.1490247795091333e-5
1466,11,4.350970820099689e-6
1466,12,7.16244432396297e-6
1467,1,6.217568496801415e-6
1467,2,3.5439034300672333e-6
1467,3,5.177386489078199e-6
1467,4,7.7824366556139e-6
1467,5,4.232085936507389e-6
1467,6,2.5069977632782862e-6
1467,7,1.1157834876128007e-6
1467,8,1.659484163794714e-6
1467,9,8.990482599590736e-6
1467,10,7.424502044937673e-6
1467,11,7.012624042942774e-6
1467,12,7.875075903990275e-6
1468,1,1.1723360621446612e-5
1468,2,6.595244984891888e-6
1468,3,-2.4638193915932743e-6
1468,4,4.766831728557816e-6
1468,5,3.7855950711673612e-6
1468,6,-9.584194168853778e-7
1468,7,6.375242089766622e-7
1468,8,9.705919213518415e-7
1468,9,7.531865152341382e-6
1468,10,6.7356509989880166e-6
1468,11,3.362798706412632e-6
1468,12,2.6270120754563177e-6
1469,1,5.88147221759465e-6
1469,2,6.10034643040621e-6
1469,3,6.80778673321956e-6
1469,4,9.554073020284372e-6
1469,5,9.523870406085579e-6
1469,6,4.991905716948035e-6
1469,7,1.0697451103256033e-6
1469,8,1.5219007375813526e-6
1469,9,5.032015885081928e-6
1469,10,8.598167598897739e-6
1469,11,1.6217102855922753e-6
1469,12,-1.2065398756256424e-6
1470,1,6.221896892872234e-6
1470,2,6.80723003658895e-6
1470,3,1.1528447953453633e-5
1470,4,2.0126874155939573e-6
1470,5,6.321424287364388e-6
1470,6,-4.37317548580397e-7
1470,7,1.9912451516625578e-7
1470,8,1.4357596726661881e-6
1470,9,1.0130652135468854e-5
1470,10,4.555133748860555e-6
1470,11,3.31883453002266e-7
1470,12,2.1461343575880095e-6
1471,1,1.2510335125696722e-5
1471,2,8.36134526468696e-6
1471,3,4.806498231334234e-7
1471,4,-2.0296141267764023e-8
1471,5,1.5468207198523132e-6
1471,6,-1.745856700974026e-8
1471,7,3.081097929831861e-7
1471,8,1.23105537678211e-6
1471,9,6.694846010232065e-6
1471,10,1.1437100268418042e-5
1471,11,6.352399712303701e-6
1471,12,7.922834792319609e-6
1472,1,3.44782923348279e-6
1472,2,7.3587497069578385e-6
1472,3,6.914544560686892e-6
1472,4,9.346952711957907e-6
1472,5,8.313581424371136e-6
1472,6,3.082498891530534e-6
1472,7,1.4866001530845715e-6
1472,8,1.381530441920901e-6
1472,9,3.0561850318807975e-6
1472,10,6.22875943196303e-6
1472,11,6.341201455767783e-6
1472,12,7.342469987666706e-6
1473,1,1.457044125589034e-5
1473,2,5.292670529875059e-6
1473,3,1.8087231879370773e-6
1473,4,-2.729335599969355e-6
1473,5,-5.108798588639394e-8
1473,6,2.334518957687983e-6
1473,7,7.541572245804533e-7
1473,8,8.033649841367522e-7
1473,9,5.62061652910781e-7
1473,10,1.4820742672868872e-5
1473,11,1.2123210278857565e-5
1473,12,1.5976925349180937e-6
1474,1,1.1934376311047096e-5
1474,2,1.971390143025361e-6
1474,3,1.0347336994912306e-5
1474,4,2.2087063423034657e-6
1474,5,5.373410836153203e-6
1474,6,1.4931252992075855e-6
1474,7,4.944327648624604e-7
1474,8,1.326492566206315e-6
1474,9,5.817875171949434e-6
1474,10,8.682453441309456e-6
1474,11,3.7610656702933322e-6
1474,12,9.337712446728973e-6
1475,1,1.472936425246747e-6
1475,2,3.824621845832447e-6
1475,3,7.213536634814034e-6
1475,4,3.82498752969887e-6
1475,5,2.676220246233983e-6
1475,6,-7.852329898183724e-8
1475,7,1.0108147195689383e-6
1475,8,9.54839901050627e-7
1475,9,3.789966371795497e-6
1475,10,8.082045997604337e-6
