year,month,value
1421,1,1.5482453674341297e-5
1421,2,1.3923623784818185e-5
1421,3,1.388342443583549e-5
1421,4,1.3640454194761237e-5
1421,5,9.184444453600069e-6
1421,6,4.466650297572345e-6
1421,7,1.156957389665508e-6
1421,8,1.5911408760343694e-6
1421,9,1.2657846372784247e-5
1421,10,2.0285759098499062e-5
1421,11,2.090217595583523e-5
1421,12,1.604461578919434e-5
1422,1,1.676668543254618e-5
1422,2,1.2323530918417774e-5
1422,3,1.4979170587259484e-5
1422,4,1.5142051682466414e-5
1422,5,1.139526116683126e-5
1422,6,7.384050044068755e-6
1422,7,2.205767501481445e-6
1422,8,1.6074961393158532e-6
1422,9,9.782909176188723e-6
1422,10,1.8582528432641475e-5
1422,11,1.8782477056178534e-5
1422,12,1.5939753864972296e-5
1423,1,1.6602265198018823e-5
1423,2,2.0269894216592516e-5
1423,3,1.5789248553511737e-5
1423,4,1.3876513412061472e-5
1423,5,1.2273669859573639e-5
1423,6,5.690231547141151e-6
1423,7,1.7496885631571696e-6
1423,8,1.8554311157582363e-6
1423,9,1.0645630276955075e-5
1423,10,2.0784532415960138e-5
1423,11,2.0685199935304108e-5
1423,12,2.0105694532237526e-5
1424,1,1.807250499655593e-5
1424,2,1.6833915378051475e-5
1424,3,1.840722320004852e-5
1424,4,1.7283098479150612e-5
1424,5,9.645389893394061e-6
1424,6,5.374496020807473e-6
1424,7,1.2138422149236794e-6
1424,8,4.22247979043541e-6
1424,9,9.604533118690637e-6
1424,10,2.2496444748096318e-5
1424,11,1.7609200587431373e-5
1424,12,1.6062040717658852e-5
1425,1,1.8562860526344165e-5
1425,2,1.3970913818944536e-5
1425,3,1.5234502342299936e-5
1425,4,1.7961986346157903e-5
1425,5,1.5114424629069613e-5
1425,6,6.4315563691401086e-6
1425,7,1.3956847531169792e-6
1425,8,1.7839178955971961e-6
1425,9,9.476215482740052e-6
1425,10,2.1386192478589502e-5
1425,11,1.702989377695098e-5
1425,12,1.6767596145363933e-5
1426,1,1.5965265567558e-5
1426,2,1.6380968995744987e-5
1426,3,1.551024397588674e-5
1426,4,1.777748415075512e-5
1426,5,1.3979760937422766e-5
1426,6,7.872008322478838e-6
1426,7,1.6172349122479227e-6
1426,8,1.5039550714974977e-6
1426,9,9.486128548726124e-6
1426,10,1.8583773378613298e-5
