year,month,value
1421,1,0.03701799304466215
1421,2,0.026787628784391386
1421,3,-0.8261356746030535
1421,4,-0.2608677424805269
1421,5,0.352978551064298
1421,6,0.7669809648827886
1421,7,1.0348303669413839
1421,8,0.49788231917032943
1421,9,-1.0646791451064157
1421,10,-0.2097035167676094
1421,11,-0.2017970320924133
1421,12,-0.1911255163918804
1422,1,-0.040407983696438055
1422,2,0.5478198420340363
1422,3,0.5451334078292391
1422,4,-0.09763854523427576
1422,5,-0.24987050243496906
1422,6,-0.14173937703053108
1422,7,0.4879734325175408
1422,8,-0.05459375553228313
1422,9,-0.9822121744784146
1422,10,-0.7405256678319655
1422,11,-1.148104564801491
1422,12,-0.23434600888022183
1423,1,-0.22056926435772162
1423,2,-1.131883829150286
1423,3,-0.27096357728457604
1423,4,-0.3942421485259958
1423,5,-1.1025246893818637
1423,6,-0.6025130193248168
1423,7,-0.05832885755084502
1423,8,-0.3977651088687492
1423,9,-1.0722138038851787
1423,10,-0.5732132435765472
1423,11,-1.0218205139175809
1423,12,-0.6011543829728698
1424,1,-0.8252546048549514
1424,2,-0.47867846883214527
1424,3,-0.29937847753063407
1424,4,0.1657099694829335
1424,5,-0.6514469052939507
1424,6,0.4740313276581102
1424,7,1.127545725031926
1424,8,-0.19725449923961424
1424,9,-1.0563392896458028
1424,10,0.21835576761842218
1424,11,-0.5917175548623275
1424,12,0.5101771041669679
1425,1,0.4335880504132458
1425,2,0.2520853372149322
1425,3,-0.13080478905919368
1425,4,-0.1255671205973335
1425,5,-0.08268616245460966
1425,6,0.05791964403787807
1425,7,0.9924287539125711
1425,8,0.3207392136148686
1425,9,-0.2654441204609008
1425,10,-0.10584083420049431
1425,11,-0.8424548952498738
1425,12,-0.42653196143119493
1426,1,-0.7679700693490477
1426,2,-0.8800440946416653
1426,3,-0.277536605573167
1426,4,-0.11658707373061565
1426,5,0.1916564916359486
1426,6,0.1612980650501842
1426,7,0.5744123841629494
1426,8,0.46772773727153255
1426,9,-0.46209167302712006
1426,10,-0.07136326887721316
1426,11,-0.466622234897258
1426,12,-0.35920973074574025
1427,1,-0.8627949767229867
1427,2,-0.5523394270209309
1427,3,-0.5763165230081575
1427,4,-0.41671408075039285
1427,5,-0.13067282885082207
1427,6,0.022547666737526492
1427,7,0.38960693265075497
1427,8,0.6767909183306671
1427,9,-0.38634524857650654
1427,10,0.01149446229924438
1427,11,-0.3642458888600769
1427,12,-0.14686945682777286
1428,1,0.015195268287793608
1428,2,0.3564388627253665
1428,3,-0.2929170971610918
1428,4,-0.5825183724323159
1428,5,-0.8285906093641994
1428,6,-0.5876383879331453
1428,7,-0.31435976839727114
1428,8,-0.27677921895739743
1428,9,-0.6001722462289523
1428,10,-0.11546671028741387
1428,11,-0.8195780808327151
1428,12,-0.07961489493481072
1429,1,0.10391198268493429
1429,2,0.22955463116118002
1429,3,-0.7530878940162206
1429,4,-0.8820758334139467
1429,5,-0.2203470809291409
