year,month,value
1420,1,2.682248328980922e-5
1420,2,2.590471542273474e-5
1420,3,2.2002708985044075e-5
1420,4,2.0901904848814977e-5
1420,5,1.590514007293229e-5
1420,6,7.06832139878028e-6
1420,7,5.908027274931663e-7
1420,8,1.6198708992547582e-6
1420,9,8.938551311861853e-6
1420,10,3.958096012876173e-5
1420,11,3.2590817833363095e-5
1420,12,2.6034194459685274e-5
1421,1,2.8738048841951976e-5
1421,2,2.54118172714944e-5
1421,3,2.693577469041052e-5
1421,4,2.8449902246970005e-5
1421,5,1.4547420805705746e-5
1421,6,4.613182055232349e-6
1421,7,6.156408656851944e-7
1421,8,8.561414770144844e-7
1421,9,1.2323140105862852e-5
1421,10,3.1987631729362876e-5
1421,11,3.559859671512571e-5
1421,12,2.7088258792202985e-5
1422,1,3.0602649936803455e-5
1422,2,1.785107553358186e-5
1422,3,2.3666413554127836e-5
1422,4,2.2114642908709382e-5
1422,5,1.653684522689421e-5
1422,6,5.668075886438435e-6
1422,7,8.167087913046169e-7
1422,8,6.425603332269248e-7
1422,9,1.3843543304445472e-5
1422,10,3.994262127643529e-5
1422,11,3.5854884922184005e-5
1422,12,2.904890877294993e-5
1423,1,3.3133751103368124e-5
1423,2,2.7438341230544963e-5
1423,3,2.7128264811847247e-5
1423,4,2.346450299336441e-5
1423,5,1.7643462195866958e-5
1423,6,5.4651264319394276e-6
1423,7,9.062063934315683e-7
1423,8,9.632986034513433e-7
1423,9,1.2548846502741505e-5
1423,10,3.859374411529427e-5
1423,11,3.2498250105664274e-5
1423,12,3.37022230601023e-5
1424,1,3.055273627203094e-5
1424,2,2.827387650712047e-5
1424,3,3.0591819236877195e-5
1424,4,2.5208665881804943e-5
1424,5,1.7294201696043443e-5
1424,6,4.963751085264424e-6
1424,7,6.261176756717554e-7
1424,8,2.596731311117773e-6
1424,9,9.91662215190589e-6
1424,10,3.595618816632562e-5
1424,11,3.5043815267786504e-5
1424,12,3.1825962169983865e-5
1425,1,3.274889487662894e-5
1425,2,2.1910902347965705e-5
1425,3,2.386841782387063e-5
1425,4,2.4495848176792918e-5
1425,5,2.0796129806188485e-5
1425,6,6.355525437663629e-6
1425,7,5.718273486977129e-7
1425,8,1.1068907466392389e-6
1425,9,1.0541278552696906e-5
1425,10,2.8134060950390038e-5
1425,11,3.0909248453831996e-5
1425,12,3.247294499716896e-5
1426,1,2.9464974526626938e-5
1426,2,2.4300656493488773e-5
1426,3,2.794983841676665e-5
1426,4,2.6740244823775414e-5
1426,5,2.135801300760737e-5
1426,6,6.830489006914158e-6
1426,7,8.890416158404993e-7
1426,8,8.129425562276631e-7
1426,9,8.86604682309731e-6
1426,10,2.9432283885972447e-5
1426,11,4.448843643734828e-5
1426,12,2.6505887867101148e-5
1427,1,2.5018558295141908e-5
1427,2,3.2967773165563946e-5
1427,3,2.7882554618998292e-5
1427,4,2.084133450373634e-5
1427,5,1.573963649345719e-5
1427,6,4.676236094808633e-6
1427,7,7.205219120933711e-7
1427,8,9.656480389924116e-7
1427,9,1.0309356199502669e-5
1427,10,3.310455887907308e-5
1427,11,3.660637393663015e-5
1427,12,3.1298491618514463e-5
1428,1,3.28380645930603e-5
1428,2,2.6112735177498892e-5
1428,3,2.5814553211400165e-5
1428,4,2.3741332997498345e-5
1428,5,1.871039840756949e-5
1428,6,5.269746066035145e-6
1428,7,6.558037880098414e-7
1428,8,9.536455191097053e-7
1428,9,8.158559994738595e-6
1428,10,4.0158845671496044e-5
1428,11,3.6879920339099646e-5
1428,12,2.934832241731052e-5
1429,1,2.995365161013777e-5
1429,2,2.3798378066913298e-5
1429,3,2.670661458237183e-5
1429,4,2.2987657916673637e-5
1429,5,1.8234720818834724e-5
1429,6,4.726848448877876e-6
1429,7,7.407833188670395e-7
1429,8,9.8134695744215e-7
1429,9,9.309482375185216e-6
1429,10,3.6218888832565266e-5
1429,11,3.1766335609361964e-5
1429,12,3.451622286069442e-5
1430,1,2.4720615998336514e-5
1430,2,3.426675103545762e-5
1430,3,3.396459775494758e-5
1430,4,2.3359282262216304e-5
1430,5,2.4657008221617476e-5
1430,6,5.383021247132232e-6
1430,7,6.65682251372723e-7
1430,8,4.526465585520117e-7
1430,9,1.0247141001141232e-5
1430,10,2.8317981358610314e-5
1430,11,2.5647295681048575e-5
1430,12,2.932379483142691e-5
1431,1,2.881811248529453e-5
1431,2,2.3007637773309237e-5
1431,3,2.9683737822342394e-5
1431,4,2.694317153596582e-5
1431,5,2.4329584784114664e-5
1431,6,3.640091013535609e-6
1431,7,6.040925051311562e-7
1431,8,5.744210499556511e-7
1431,9,1.2410293073604781e-5
1431,10,2.960410648497988e-5
1431,11,3.4412926338349474e-5
1431,12,2.8203266460612283e-5
1432,1,3.0297799741859896e-5
1432,2,3.0949621674616535e-5
1432,3,2.4403344180089285e-5
1432,4,2.551799617115355e-5
1432,5,1.5640239400516337e-5
1432,6,5.098939464751076e-6
1432,7,7.922518098809283e-7
1432,8,1.4615310057972761e-6
1432,9,1.1391336353422802e-5
1432,10,3.0453301026336316e-5
1432,11,3.2343368409992744e-5
1432,12,2.5711395234980847e-5
1433,1,2.7302215673392405e-5
1433,2,3.0901920891798684e-5
1433,3,2.120794002283394e-5
1433,4,2.503631485915551e-5
1433,5,2.2531480283345387e-5
1433,6,4.9981042890677045e-6
1433,7,1.3418301492920337e-6
1433,8,4.5972829827620365e-7
1433,9,9.094609673427635e-6
1433,10,3.187102097727801e-5
1433,11,3.146427879742046e-5
1433,12,3.297600264173991e-5
1434,1,2.7768296816088935e-5
1434,2,3.1301003073666204e-5
1434,3,2.819976080089924e-5
1434,4,2.839151638199069e-5
1434,5,1.844113818077966e-5
1434,6,4.438105795655884e-6
1434,7,3.395828837421219e-7
1434,8,9.830521227430517e-7
1434,9,1.227415200070997e-5
1434,10,3.423471967795619e-5
1434,11,3.589032578608773e-5
1434,12,3.037500709341468e-5
1435,1,2.4320177142987647e-5
1435,2,2.8734969050398335e-5
1435,3,2.5695776346169003e-5
1435,4,2.3519313186460892e-5
1435,5,1.5611640639574295e-5
1435,6,3.939767527769538e-6
1435,7,5.43532875153558e-7
1435,8,8.546427120904485e-7
1435,9,9.109639433617547e-6
1435,10,3.627692515962468e-5
1435,11,3.6539136392541064e-5
1435,12,3.167928320632576e-5
1436,1,3.189754054788494e-5
1436,2,2.8992475018524017e-5
1436,3,2.755921503668221e-5
1436,4,2.8515621759071418e-5
1436,5,1.848996253931553e-5
1436,6,7.800239406109134e-6
1436,7,6.025306555047127e-7
1436,8,1.77651547949905e-6
1436,9,1.008350061037378e-5
1436,10,2.6961458703848324e-5
1436,11,2.962231331917581e-5
1436,12,2.9165930415493513e-5
1437,1,2.629919336610757e-5
1437,2,2.366700220294858e-5
1437,3,1.943708266360833e-5
1437,4,2.2728638220492714e-5
1437,5,1.54241038085348e-5
1437,6,5.548619660668807e-6
1437,7,6.488661311039478e-7
1437,8,4.996712630734575e-7
1437,9,1.1384618884979627e-5
1437,10,3.169972164846476e-5
1437,11,3.829877960430207e-5
1437,12,3.425617548095102e-5
1438,1,3.167927608558486e-5
1438,2,3.0462054648708695e-5
1438,3,2.2106372620493605e-5
1438,4,2.2388119400541174e-05
1438,5,1.4721889719375774e-5
1438,6,4.174979188902259e-6
1438,7,3.2529187060475477e-7
1438,8,1.0163333131656925e-6
1438,9,1.2515230130830697e-5
1438,10,4.158654707219293e-5
1438,11,3.581434804679828e-5
1438,12,3.3722221581267156e-5
1439,1,3.00480137321879e-5
1439,2,3.1484818530872014e-5
1439,3,2.9585234979658905e-5
1439,4,1.9760100034137655e-5
1439,5,1.4721198044224605e-5
1439,6,6.164173134654857e-6
1439,7,4.33563946869197e-7
1439,8,9.101178603229052e-7
1439,9,8.9643444694552e-6
1439,10,3.7295254420030224e-5
1439,11,3.23592428749871e-5
1439,12,3.368529467079291e-5
1440,1,3.275983388711587e-5
1440,2,2.600584412371577e-5
1440,3,2.3198764866441366e-5
1440,4,2.1941640201856513e-5
