year,month,value
1420,1,1.5621492866902505e-5
1420,2,1.6753497700665383e-5
1420,3,1.510850214067071e-5
1420,4,1.537908300559608e-5
1420,5,1.3343289256629643e-5
1420,6,7.030188787273663e-6
1420,7,1.4740007086811443e-6
1420,8,4.073851857606429e-6
1420,9,8.512148169937195e-6
1420,10,2.325452908001961e-5
1420,11,2.07272866707559e-5
1420,12,1.4192080481448273e-5
1421,1,1.5515342504053598e-5
1421,2,1.3932558065299968e-5
1421,3,1.388342443583549e-5
1421,4,1.368322470717387e-5
1421,5,9.476962414694087e-6
1421,6,4.521684047079101e-6
1421,7,1.1691340050169472e-6
1421,8,1.6034377605757126e-6
1421,9,1.254578728171923e-5
1421,10,2.0285759098499062e-5
1421,11,2.090217595583523e-5
1421,12,1.6070095346313026e-5
1422,1,1.683855589799176e-5
1422,2,1.2384329417927539e-5
1422,3,1.4979170587259484e-5
1422,4,1.5161263373943608e-5
1422,5,1.1592094046533216e-5
1422,6,7.580355601509392e-6
1422,7,2.2365825609195095e-6
1422,8,1.652700127767382e-6
1422,9,9.901137666939855e-6
1422,10,1.8582528432641475e-5
1422,11,1.8782477056178534e-5
1422,12,1.594784944517917e-5
1423,1,1.664846418273796e-5
1423,2,2.1095876983474756e-5
1423,3,1.5789248553511737e-5
1423,4,1.3958352216095703e-5
1423,5,1.2588801312667005e-5
1423,6,5.765655261685715e-6
1423,7,1.776228166325786e-6
1423,8,1.8679602334126594e-6
1423,9,1.0695630639880074e-5
1423,10,2.0784532415960138e-5
1423,11,2.0685199935304108e-5
1423,12,2.0111520725552055e-5
1424,1,1.809144271936676e-5
1424,2,1.6232433654346868e-5
1424,3,1.840722320004852e-5
1424,4,1.739247659686736e-5
1424,5,1.0103229032704323e-5
1424,6,5.414867135071634e-6
1424,7,1.2237011615247175e-6
1424,8,4.30540928911042e-6
1424,9,9.772518844252956e-6
1424,10,2.2496444748096318e-5
1424,11,1.7609200587431373e-5
1424,12,1.608997240149661e-5
1425,1,1.8597905128201144e-5
1425,2,1.3979532474179596e-5
1425,3,1.5234502342299936e-5
1425,4,1.8004598164574017e-5
1425,5,1.5185144257035489e-5
1425,6,6.482798083119678e-6
1425,7,1.3976812323043219e-6
1425,8,1.8194762335269635e-6
1425,9,9.51919521402347e-6
1425,10,2.1386192478589502e-5
1425,11,1.702989377695098e-5
1425,12,1.6777094479912723e-5
1426,1,1.6012412317059274e-5
1426,2,1.639096258286568e-5
1426,3,1.551024397588674e-5
1426,4,1.7891191256997505e-5
1426,5,1.434758466394778e-5
1426,6,8.020677350126462e-6
1426,7,1.6425255423060053e-6
1426,8,1.5417451250714287e-6
1426,9,9.58832215487402e-6
1426,10,1.8583773378613298e-5
1426,11,2.4862961332170095e-5
1426,12,1.2600628720748491e-5
1427,1,1.4956098114270008e-5
1427,2,1.82746006283201e-5
1427,3,1.487537566229673e-5
1427,4,1.8124522981580884e-5
1427,5,1.0764473850610517e-5
1427,6,6.846189902850684e-6
1427,7,1.3738249446313387e-6
1427,8,1.9478785674939776e-6
1427,9,9.623032213337577e-6
1427,10,2.0399855223145617e-5
1427,11,1.7189683486441165e-5
1427,12,2.0970157437444833e-5
1428,1,2.0211381616276418e-5
1428,2,1.6681567778636608e-5
1428,3,1.7498886825422363e-5
1428,4,1.4763039483426972e-5
1428,5,1.4094242381064685e-5
1428,6,5.535694287491669e-6
1428,7,1.2046662370620055e-6
1428,8,1.5721351343219095e-6
1428,9,1.0464156351137095e-5
1428,10,2.2827880196319446e-5
1428,11,1.9827824485076957e-5
1428,12,1.8106656831827754e-5
1429,1,1.7258469771958668e-5
1429,2,1.605298606255963e-5
1429,3,1.386915111302277e-5
1429,4,1.3435244801721049e-5
1429,5,1.001364816597634e-5
1429,6,4.428935492580449e-6
1429,7,1.2430242992672562e-6
1429,8,2.09043260840148e-6
1429,9,1.0444538492477214e-5
1429,10,1.9352739714179884e-5
1429,11,1.9091518699386395e-5
1429,12,1.8458415292421903e-5
1430,1,1.3441123529298009e-5
1430,2,1.9489418060192885e-5
1430,3,1.8701558034218453e-5
1430,4,1.5544397311425624e-5
1430,5,1.9506759261823077e-5
1430,6,5.304901444693745e-6
1430,7,1.3989253023529556e-6
1430,8,8.0862246637171e-7
1430,9,9.647093556652406e-6
1430,10,1.9712811042394184e-5
1430,11,1.6037631187336324e-5
1430,12,1.6842733877711045e-5
1431,1,1.4056366499644858e-5
1431,2,1.930943619985895e-5
1431,3,1.6776397226596773e-5
1431,4,1.7791963606571123e-5
1431,5,1.5429687257464948e-5
1431,6,3.2218895544407447e-6
1431,7,1.2756029578292568e-6
1431,8,1.1718100277470102e-6
1431,9,1.0163974068021237e-5
1431,10,1.966513435499559e-5
1431,11,1.7629138648568853e-5
1431,12,1.431269957569746e-5
1432,1,2.027083379465096e-5
1432,2,1.548388286537754e-5
1432,3,1.519875130058315e-5
1432,4,1.4187175070802532e-5
1432,5,9.971539153305595e-6
1432,6,5.893198911369027e-6
1432,7,1.4971357482392952e-6
1432,8,2.2205317810491696e-6
1432,9,1.1908932185435964e-5
1432,10,1.6330517440474858e-5
1432,11,2.000233733205891e-5
1432,12,1.4977935940144777e-5
1433,1,1.9493960877869582e-5
1433,2,1.4000177895948394e-5
1433,3,1.589099239951318e-5
1433,4,1.5335133670242347e-5
1433,5,1.7712681651675273e-5
1433,6,5.6740913696239015e-6
1433,7,2.235112803467037e-6
1433,8,9.217500688962935e-7
1433,9,9.675132848223661e-6
1433,10,2.5945016168869354e-5
1433,11,2.0608718065863528e-5
1433,12,2.03308189845567e-5
1434,1,1.620425539398612e-5
1434,2,1.6028304166250014e-5
1434,3,1.750755233544475e-5
1434,4,1.3966631679525447e-5
1434,5,1.3268254358774929e-5
1434,6,5.3168644824803545e-6
1434,7,8.232222791740052e-7
1434,8,2.0251502917457205e-6
1434,9,1.2632348838354945e-5
1434,10,2.075171211111515e-5
1434,11,2.1268348172238945e-5
1434,12,1.8958239613776693e-5
1435,1,1.4410285856104794e-5
1435,2,1.8802015453181365e-5
1435,3,1.3964003956078714e-5
1435,4,1.2373259585986165e-5
1435,5,1.2248046965437279e-5
1435,6,4.641224751531049e-6
1435,7,9.944729174159144e-7
1435,8,1.5222303941845203e-6
1435,9,9.350167251056978e-6
1435,10,2.5233866226344777e-5
1435,11,1.765177387211368e-5
1435,12,1.5787731800248464e-5
1436,1,1.5385766094231817e-5
1436,2,1.7846617940914006e-5
1436,3,1.5340402275817667e-5
1436,4,1.5961170124518712e-5
1436,5,1.1064490482818756e-5
1436,6,8.684138730914008e-6
1436,7,1.400990056000694e-6
1436,8,3.3969065539665035e-6
1436,9,9.599339724064693e-6
1436,10,2.072844625407667e-5
1436,11,1.7349433586348956e-5
1436,12,1.2650578948877184e-5
1437,1,1.9783157363362785e-5
1437,2,1.9106139480108517e-5
1437,3,1.5583679317132622e-5
1437,4,1.4183059065134665e-5
1437,5,1.2478572405376973e-5
1437,6,5.810432528721031e-6
1437,7,1.6849606637907884e-6
1437,8,9.247971962038794e-7
1437,9,9.621428950758754e-6
1437,10,2.5468740031321386e-5
1437,11,2.227483792623618e-5
1437,12,1.9676675465278423e-5
1438,1,1.5910664285506886e-5
1438,2,1.9105481391375514e-5
1438,3,1.325338265998704e-5
1438,4,1.2374619722806032e-5
1438,5,1.0149417587901257e-5
1438,6,3.804118139482966e-6
1438,7,7.707663336792843e-7
1438,8,1.7880562856043864e-6
1438,9,1.291543620071993e-5
1438,10,2.6082556784654046e-5
1438,11,1.4759288059587765e-5
1438,12,1.5454282259195087e-5
1439,1,1.79176665181646e-5
1439,2,1.8071616182218812e-5
1439,3,1.5203688914930406e-5
1439,4,1.2349812277984823e-5
1439,5,1.096342532007689e-5
1439,6,7.086224014690454e-6
1439,7,8.464725984304951e-7
1439,8,1.6885517177446297e-6
1439,9,8.96890922237769e-6
1439,10,1.9194776172952777e-5
1439,11,1.8465661447862635e-5
1439,12,1.963174444102991e-5
1440,1,1.73861661296554e-5
1440,2,1.9753433475952065e-5
1440,3,1.6896187175450543e-5
1440,4,1.4397227421404694e-5
1440,5,1.2188404577476334e-5
1440,6,6.054127174307417e-6
1440,7,3.7410411480134136e-6
1440,8,1.3588441533679342e-6
1440,9,1.2254286688359215e-5
1440,10,2.4391559381576437e-5
1440,11,1.9418610625505047e-5
1440,12,1.1203244363856816e-5
1441,1,1.77004779033805e-5
1441,2,1.803980332063787e-5
1441,3,1.1903042543538704e-5
1441,4,1.573596751555783e-5
1441,5,1.258993281853026e-5
1441,6,8.692620052094087e-6
1441,7,7.3126528657005e-7
1441,8,1.0756946762196275e-6
1441,9,8.869969325665056e-6
1441,10,1.8995840911402713e-5
1441,11,1.741378421953249e-5
1441,12,1.9832635380219246e-5
1442,1,1.4779529254839085e-5
1442,2,1.4064756903453203e-5
1442,3,1.930101260468082e-5
1442,4,1.723352376788928e-5
1442,5,1.233193640879717e-5
1442,6,6.537201648833048e-6
1442,7,1.0495008430725118e-6
1442,8,3.7340824429210425e-6
1442,9,1.2435895038701695e-5
1442,10,2.2749586274113223e-5
1442,11,2.3791473002882863e-5
1442,12,2.382684254173771e-5
1443,1,1.9326650360244182e-5
1443,2,2.229759551354102e-5
1443,3,1.5592541368917542e-5
1443,4,1.652461145491743e-5
1443,5,1.2940723469918544e-5
1443,6,7.072789142291101e-6
1443,7,2.6017876147924353e-6
1443,8,1.5893822291821589e-6
1443,9,9.243412909938169e-6
1443,10,1.8260357107785157e-5
1443,11,1.6074725654576835e-5
1443,12,1.7244841875700534e-5
1444,1,1.4076281019298386e-5
1444,2,1.683900299410781e-5
1444,3,1.659749207464888e-5
1444,4,1.3795679867270645e-5
1444,5,1.3923013332896506e-5
1444,6,5.867319646388622e-6
1444,7,1.025910096498737e-6
1444,8,2.033647878051041e-6
1444,9,1.4802122124948077e-5
1444,10,2.057237278430944e-5
