year,month,value
1420,1,281.10606793512136
1420,2,281.53364201164607
1420,3,283.4448046878729
1420,4,286.49502853282695
1420,5,291.1301950924212
1420,6,296.2743012770235
1420,7,302.4003594596314
1420,8,302.4945632679477
1420,9,296.30114030482395
1420,10,290.66414758968244
1420,11,285.29973319508264
1420,12,282.1643971927942
1421,1,281.57582560280457
1421,2,282.0055607411835
1421,3,283.09746408931244
1421,4,286.36471507808085
1421,5,291.0781170751892
1421,6,296.8417590959344
1421,7,302.4405465231111
1421,8,302.6682734439287
1421,9,296.36260598124977
1421,10,290.6388996588906
1421,11,285.6467692669281
1421,12,282.84088660579846
1422,1,281.8536641512312
1422,2,282.8525062109469
1422,3,284.43449868556377
1422,4,286.588994207174
1422,5,290.4435530986506
1422,6,295.89459376198994
1422,7,301.4021954355822
1422,8,301.7997700295147
1422,9,295.94499773080145
1422,10,290.08928573538003
1422,11,284.7233073603188
1422,12,283.11880943278345
1423,1,282.454942136045
1423,2,282.31807651806673
1423,3,283.64881420119866
1423,4,286.4574369032732
1423,5,290.3064047427579
1423,6,296.0094716125867
1423,7,301.643914230781
1423,8,301.5843184779929
1423,9,295.832676844128
1423,10,290.2728965767883
1423,11,284.8466811475252
1423,12,282.47044490400174
1424,1,281.1963765785391
1424,2,281.93196583648296
1424,3,283.58083265983174
1424,4,286.7407623110969
1424,5,290.7964105825314
1424,6,296.5201045897004
1424,7,302.09022978249106
1424,8,301.89318341589404
1424,9,296.3840714921897
1424,10,291.02268588195705
1424,11,285.2868997167027
1424,12,283.0252845474712
1425,1,281.6596620616551
1425,2,281.9118204380869
1425,3,283.7842907317968
1425,4,286.5909928494941
1425,5,290.69135935154105
1425,6,296.27905953744295
1425,7,302.2715390057914
1425,8,302.02855331454845
1425,9,296.32654613789646
1425,10,290.74607418114
1425,11,285.0239115138251
1425,12,282.60073814236364
1426,1,281.10922041195414
1426,2,281.3926153399839
1426,3,283.626194337588
1426,4,286.449083478331
1426,5,290.5050000676397
1426,6,296.47594637045654
1426,7,302.3466698263924
1426,8,302.75823249762493
1426,9,296.6859735527223
1426,10,290.7890223996105
1426,11,285.3896408651086
1426,12,282.777741117412
1427,1,281.3378428309028
1427,2,281.90504931910004
1427,3,283.38277726943295
1427,4,286.5082874189883
1427,5,290.9251723859597
1427,6,296.6043982897003
1427,7,302.34896222339967
1427,8,302.76712564391596
1427,9,296.42560008047144
1427,10,290.8077167436574
1427,11,285.39672395176865
1427,12,282.4559200737056
1428,1,281.4063679679754
1428,2,282.2361112194162
1428,3,283.55057599594517
1428,4,286.64134288104793
1428,5,290.6442336587363
1428,6,296.35230733723364
1428,7,302.1079795633625
1428,8,302.52489894597625
1428,9,296.7029192411361
1428,10,290.7224443560192
1428,11,285.0367471873947
1428,12,282.73495806924706
1429,1,281.561794655451
1429,2,282.04731868263036
1429,3,283.1334404093841
1429,4,286.20710995159016
1429,5,290.6861068656676
1429,6,296.6047520090579
1429,7,302.33017685899597
1429,8,302.44080700748606
1429,9,296.96333444702003
1429,10,290.7028476459757
1429,11,285.4308005721846
1429,12,282.81644336624544
1430,1,281.0194279702739
1430,2,282.0103855174361
1430,3,283.0632813770687
1430,4,286.33419242672664
1430,5,290.43028255799925
1430,6,296.1935017762312
1430,7,302.1956758032687
1430,8,302.73708628796106
1430,9,296.30942609307965
1430,10,290.76195394934405
1430,11,285.49257839300344
1430,12,282.30826873992066
1431,1,281.49093323483964
1431,2,282.3897877641119
1431,3,283.20016335417233
1431,4,286.3750717338678
1431,5,290.5474617222393
1431,6,296.84767829036787
1431,7,302.27689325715994
1431,8,302.575762214555
1431,9,296.5146921497773
1431,10,290.4367454179501
1431,11,285.446459088589
1431,12,282.55353632815275
1432,1,281.19342328173
1432,2,281.5093455615946
1432,3,283.18706607709703
1432,4,286.1510491227754
1432,5,290.77412850055396
1432,6,296.5272213215453
1432,7,302.4787645876655
1432,8,302.4522931247933
1432,9,296.68694866901956
1432,10,290.4542792513091
1432,11,285.4590406783355
1432,12,282.2407069321706
1433,1,281.4832556121063
1433,2,281.84326572340774
1433,3,283.42708685368416
1433,4,286.5410882309608
1433,5,290.59841887420663
1433,6,296.5576971644423
1433,7,302.24828118734763
1433,8,302.39156598578455
1433,9,296.66795344391335
1433,10,290.9256475280837
1433,11,285.2023018448574
1433,12,282.740770952759
1434,1,281.253328277465
1434,2,281.19133270437595
1434,3,283.0879979544602
1434,4,286.41533243032063
1434,5,290.97091789233343
1434,6,296.7810358754167
1434,7,302.6610125704718
1434,8,302.7682794811607
1434,9,296.5027015780467
1434,10,290.51442599064893
1434,11,285.313214907569
1434,12,281.5302608862985
1435,1,281.3489761478754
1435,2,281.84461194628113
1435,3,283.4889423626511
1435,4,286.5508395908397
1435,5,290.6300471102172
1435,6,296.46048301293206
1435,7,302.25942956995175
1435,8,302.43443663608696
1435,9,296.4923063712321
1435,10,290.48186595229396
1435,11,285.80342832435826
1435,12,282.91285466468275
1436,1,281.71163265152177
1436,2,280.8143516893806
1436,3,283.0658834265795
1436,4,286.3099592001909
1436,5,290.52711705851266
1436,6,296.39617536564066
1436,7,302.36907616712443
1436,8,302.4395854207992
1436,9,296.712741058607
1436,10,289.93040416268343
1436,11,285.2949183561699
1436,12,282.280161491512
1437,1,282.21136391022037
1437,2,282.56943230831996
1437,3,284.32347936875317
1437,4,286.79097391122366
1437,5,290.63983549621526
1437,6,295.984577685265
1437,7,301.93240925829383
1437,8,302.09475789380974
1437,9,296.43829262961276
1437,10,290.3456546688552
1437,11,285.16811118381054
1437,12,282.65024769324947
1438,1,281.0635978802196
1438,2,282.6150240421318
1438,3,284.34073899379433
1438,4,286.46544284974277
1438,5,290.6151530894283
1438,6,295.99812166123627
1438,7,301.7140336092667
1438,8,301.5610291093856
1438,9,295.9756565372667
1438,10,290.16701060501896
1438,11,285.05169041521094
1438,12,283.0001904840919
1439,1,281.89439032582834
1439,2,282.31862926014554
1439,3,283.3095533494035
1439,4,286.4638746347557
1439,5,290.66941653291656
1439,6,296.036353763723
1439,7,301.74255341900727
1439,8,301.85240348020756
1439,9,296.2085463109469
1439,10,290.58913711303035
1439,11,285.5594826134559
1439,12,282.2047803965273
1440,1,281.4626574196616
1440,2,281.4802334648957
1440,3,283.3944256651993
1440,4,286.4855863314323
1440,5,290.9334880287552
1440,6,296.5825927585092
1440,7,302.1829011813943
1440,8,302.72582798852267
1440,9,296.42851747277655
1440,10,290.33134332999214
1440,11,285.63529462979295
1440,12,282.761680556736
1441,1,281.80253119417364
1441,2,281.1787872431135
1441,3,283.3364791220833
1441,4,286.55160253157635
1441,5,290.90016706629086
1441,6,296.33650154966665
1441,7,302.02801530067853
1441,8,301.8968423051948
1441,9,296.3300014633953
1441,10,290.26696613034346
1441,11,285.08874816032846
1441,12,283.1689824770601
1442,1,281.0372384172311
1442,2,281.77258711311526
1442,3,283.0364153393223
1442,4,286.5193376456315
1442,5,290.8439144736302
1442,6,296.47980928108166
1442,7,302.296811415501
1442,8,302.6421939412388
1442,9,296.5224300842672
1442,10,290.0160185854399
1442,11,285.8070226472802
1442,12,283.16806527510516
1443,1,282.23971777410924
1443,2,282.4313528950542
1443,3,284.06557342328574
1443,4,286.80004758274333
1443,5,290.4006098968345
