ID_event,Event_Type,Event_Description,Event_Strength,Geographic_Impact,Start_date,End_date,Precise_Date_Start,Precise_Date_End,Season,Chronological_precision,Lat,Lon,Modern_Location_Name,Ancient_Location_Name,Spatial_Precision,Extra_Notes,Paleoenvironmental_Comparison
1,11,"The annalist records a solar eclipse on 19 July 939 in Italy, accompanied by the appearance of shooting stars.",1,4,939,939,19/7/0939,19/7/0939,Summer,5,,,Italia,Italia,FALSE,,
2,12,"The annalist records for the year 947 a destruction of livestock across all lands, presumably in Italy.",3,4,947,947,,,,3,,,Italia,Italia,FALSE,,
3,11,The annalist records a solar eclipse in December 969 in Italy.,1,4,969,969,1/12/0969,31/12/969,Winter,4,,,Italia,Italia,FALSE,,
4,11,"The annalist records a solar eclipse on 15 August 987 in Italy, on the occasion of the death of Andralisto at the hands of Nicolò Criti.",1,4,987,987,15/08/0987,15/08/0987,Summer,5,,,Italia,Italia,FALSE,,
5,2,The annalist records for the year 992 a great famine throughout Italy.,3,4,992,992,,,,3,,,Italia,Italia,FALSE,,
6,4,"The annalist records for the year 1009 a hailstorm severe enough to destroy olive trees and kill fish and birds, presumably in Italy.",3,4,1009,1009,,,,3,,,Italia,Italia,FALSE,,
7,4,"The annalist records for the year 1024 the occurrence of a heavy hailstorm, probably in Italy.",1,4,1024,1024,,,,3,,,Italia,Italia,FALSE,,
8,13,"The annalist records for the year 1042 wars and calamities that are not further specified, presumably in Italy.",1,4,1042,1042,,,,3,,,Italia,Italia,FALSE,,
9,2,"The annalist records for the year 1053 a great famine, without specifying the exact location, probably referring to Italy.",3,4,1053,1053,,,,3,,,Italia,Italia,FALSE,,
10,2,This is a notarial act from October 1053 mentioning a famine oppressing a family in Troia due to 'adverse times'.,1,1,1053,1053,1/10/1053,31/10/1053,Autumn,4,41.36172045,15.30879049,Troia,Troia,TRUE,"Since the notarial act is dated October 1053, the precise start and end date of the event is unknown.",
11,13,"The annalist records for the year 1079 a high mortality rate in Matera, presumably caused by an unspecified calamity.",3,1,1079,1079,,,,3,40.6664,16.6044,Matera,Mathera,TRUE,,
