ID_event,Event_Type,Event_Description,Event_Strength,Geographic_Impact,Start_date,End_date,Precise_Date_Start,Precise_Date_End,Season,Chronological_precision,Lat,Lon,Modern_Location_Name,Ancient_Location_Name,Spatial_Precision,Extra_Notes,Paleoenvironmental_Comparison
1,11,L'annalista indica un'eclissi solare avvenuta il 19 luglio 939 in Italia con tanto di apparizione di stelle cadenti,1,4,939,939,19/7/0939,19/7/0939,Estate,5,,,Italia,Italia,FALSE,,
2,12,"L'annalista indica all'anno 947 una distruzione bestiame avvenuta in tutte le terre, verosimilmente in Italia",3,4,947,947,,,,3,,,Italia,Italia,FALSE,,
3,11,"L'annalista indica un'eclissi solare avvenuta nel mese di dicembre del 969, in Italia",1,4,969,969,1/12/0969,31/12/969,Inverno,4,,,Italia,Italia,FALSE,,
4,11,L'annalista indica un'eclissi solare avvenuta il 15 agosto 987 in Italia in occasione della morte di Andralisto ad opera di Nicolò Criti,1,4,987,987,15/08/0987,15/08/0987,Estate,5,,,Italia,Italia,FALSE,,
5,2,L'annalista indica all'anno 992 un grande carestia avvenuta in tutta Italia,3,4,992,992,,,,3,,,Italia,Italia,FALSE,,
6,4,"L'annalista indica all'anno 1009 l'avvenimento di una grandinata tale da distruggere olivi e uccidere pesci e uccelli, verosimilmente in Italia",3,4,1009,1009,,,,3,,,Italia,Italia,FALSE,,
7,4,"L'annalista indica all'anno 1024 l'avvenimento di una forte grandinata, probabilmente in Italia",1,4,1024,1024,,,,3,,,Italia,Italia,FALSE,,
8,13,"L'annalista indica all'anno 1042 l'avvenimento di guerre e calamità che tuttavia non vengono specificate, verosimilmente in Italia",1,4,1042,1042,,,,3,,,Italia,Italia,FALSE,,
9,2,"L'annalista indica all'anno 1053 una grande carestia, tuttavia non ne specifica l'esatta localizzazione, probabilmente si riferisce all'Italia",3,4,1053,1053,,,,3,,,Italia,Italia,FALSE,,
10,2,Si tratta di un atto notarile dell'ottobre del 1053 dove viene menzionata una carestia che opprimeva una famiglia di Troia a causa dei 'tempi avversi',1,1,1053,1053,1/10/1053,31/10/1053,Autunno,4,41.36172045,15.30879049,Troia,Troia,TRUE,"Essendo l'atto notarile datato ottobre 1053, non sappiamo bene la data precisa di inizio e di fine dell'evento",
11,13,L'annalista indica all'anno 1079 un'alta percentuale di decessi a Matera causata verosimilmente da una calamità non specificata,3,1,1079,1079,,,,3,40.6664,16.6044,Matera,Mathera,TRUE,,
12,14,"L'annalista indica all'anno 1088, nel settembre, l'avvenimento di un forte terremoto in Puglia tale da distruggere torri e case",3,3,1088,1088,1/9/1088,30/09/1088,Autunno,4,,,Puglia,Apulia,FALSE,"Evento schedato anche dal CFTI5Med, con data 10 settembre 1087. Link: https://storing.ingv.it/cfti/cfti5/quake.php?00018IT",
13,16,"L'annalista indica all'anno 1095, in aprile, un'invasione di lucciole avvenuta in tutta la Puglia tale da ricoprire tutta la superficie terrestre",1,3,1095,1095,1/4/1095,30/04/1095,Primavera,4,,,Puglia,Apulia,FALSE,,
14,2,Un atto notarile rogato nel settembre del 1154 indica una carestia sofferta da una famiglia a Troia,1,1,1154,1154,1/9/1154,30/09/1154,Autunno,4,41.36172045,15.30879049,Troia,Troia,TRUE,"Essendo l'atto notarile datato settembre 1154, non sappiamo bene la data precisa di inizio e di fine dell'evento",
15,13,"L'annalista indica all'anno 1179 un'alta percentuale di decessi in Terra di Lavoro tale da lasciare insepolti molti corpi, tuttavia la calamità che causò ciò viene omessa",3,3,1179,1179,,,,3,,,Terra di Lavoro,Terra Laboris,FALSE,,
16,2,L'annalista indica all'anno 1181 una grande carestia che avvenne in tutta Italia,3,4,1181,1181,,,,3,,,Italia,Italia,FALSE,,
17,2,L'annalista indica all'anno 1182 una carestia che avvenne in tutta Italia,3,4,1182,1182,,,,3,,,Italia,Italia,FALSE,,
18,2,L'atto notarile datato 8 marzo 1196 indica l'incombere di una grande carestia a Dragonara,1,1,1196,1196,8/3/1196,8/3/1196,Inverno,5,41.68376217,15.13938831,Dragonara,Dragonaria,TRUE,,
19,2,L'atto notarile rogato nell'ottobre del 1198 a Dragonara indica come i contraenti furono oppressi da una carestia che aveva colpito tutta la Puglia,2,1,1198,1198,1/10/1198,31/10/1198,Autunno,5,41.68376217,15.13938831,Dragonara/Puglia,Dragonaria/Apulia,TRUE,"Essendo l'atto notarile datato ottobre 1198, non sappiamo bene la data precisa di inizio e di fine dell'evento",
20,2,Il cronista indica all'anno 1202 una carestia in corso in tutto il Regno,2,2,1202,1202,,,,5,,,Regno,Regnum,FALSE,,
21,2,L'atto notarile datato 5 aprile 1211 indica una carestia in corso a Troia,1,1,1211,1211,5/4/1211,5/4/1211,Primavera,5,41.36172045,15.30879049,Troia,Troia,TRUE,"Essendo l'atto notarile datato 5 aprile 1211, non sappiamo bene la data precisa di inizio e di fine dell'evento",
22,2,Il cronista indica all'anno 1212 una carestia in Puglia,1,4,1212,1212,,,,5,,,Puglia,Apulia,FALSE,,
