century,series,variable,median,lower,upper
1000,Posterior,temperature,0.9897998990256633,-0.22536508804504413,2.136456478382111
1100,Posterior,temperature,1.3264748410808924,0.2213696462963604,2.6524993035638995
1200,Posterior,temperature,0.8900845239685597,-0.2686618231449735,2.1214617880966973
1300,Posterior,temperature,1.4413253160009751,0.37762441568559285,3.0377947631215685
1400,Posterior,temperature,-0.14382523407762898,-1.4290926619073567,0.8826531294671724
1500,Posterior,temperature,0.15855948898620376,-1.0750972305066073,1.4781566965501334
1600,Posterior,temperature,-0.18213426062305677,-1.2030680294990799,0.6457644560195238
1700,Posterior,temperature,0.03561207596954252,-0.5824098121029214,0.8577683367386297
1800,Posterior,temperature,-0.00440146077788206,-1.0197791763283837,0.9034417480138237
1000,CHELSA,temperature,-0.04209117373768834,NA,NA
1100,CHELSA,temperature,-0.06113591153588516,NA,NA
1200,CHELSA,temperature,-0.15055781296723225,NA,NA
1300,CHELSA,temperature,0.08910303465028768,NA,NA
1400,CHELSA,temperature,-0.42933891195996843,NA,NA
1500,CHELSA,temperature,-0.047232715183385565,NA,NA
1600,CHELSA,temperature,-0.11226688165189991,NA,NA
1700,CHELSA,temperature,0.027095386970374946,NA,NA
1800,CHELSA,temperature,0.13240420986491053,NA,NA
1400,ModE-RA,temperature,0.015994102962304246,-1.1105416083699495,1.1425298142945581
1500,ModE-RA,temperature,0.07526481115723388,-0.6938566032914626,0.8443862256059305
1600,ModE-RA,temperature,-0.04583119138081987,-0.7164540687026759,0.6247916859410361
1700,ModE-RA,temperature,0.020461601769202642,-0.47118940477258375,0.512112608310989
1800,ModE-RA,temperature,-0.04989522154561671,-0.3455302308907437,0.24573978779951028
1400,ModE-Sim,temperature,-9.216645688212566e-4,-1.228435365582501,1.2265920364448586
1500,ModE-Sim,temperature,0.05701947111786865,-1.1454326797219723,1.2594716219577096
1600,ModE-Sim,temperature,-0.028696510969510314,-1.211171877205693,1.1537788552666723
1700,ModE-Sim,temperature,-0.009573552758254777,-1.2163239959171934,1.1971768904006839
1800,ModE-Sim,temperature,-0.018749407390103556,-1.2270386351655727,1.1895398203853655
1000,Posterior,precipitation,-0.6832579485175243,-2.69285462426085,1.3901061396707017
1100,Posterior,precipitation,-0.94352485467597,-2.8270480320452487,0.9343524609900868
1200,Posterior,precipitation,-0.1422482467033792,-1.9983307132312706,1.7951357710658924
1300,Posterior,precipitation,-1.0637340231534789,-3.055863267037429,0.8950981851882898
1400,Posterior,precipitation,1.075483362687956,-0.9571944956432089,3.0850378813747383
1500,Posterior,precipitation,-0.7489651040376031,-5.6502711995111365,3.898083758126405
1600,Posterior,precipitation,0.5424250302255285,-1.2626023519967176,2.4582545236978612
1700,Posterior,precipitation,-0.36399782546710313,-2.0745192704534317,1.4001048087456298
1800,Posterior,precipitation,0.5495023832697281,-1.150760780326108,2.342218826979568
1000,CHELSA,precipitation,4.639181352183353,NA,NA
1100,CHELSA,precipitation,7.795153162347588,NA,NA
1200,CHELSA,precipitation,2.4891159289573586,NA,NA
1300,CHELSA,precipitation,7.105508320723266,NA,NA
1400,CHELSA,precipitation,6.099735978813176,NA,NA
1500,CHELSA,precipitation,2.081533742025642,NA,NA
1600,CHELSA,precipitation,0.48031713722879,NA,NA
1700,CHELSA,precipitation,0.9002970385598297,NA,NA
1800,CHELSA,precipitation,-3.462147917814261,NA,NA
1400,ModE-RA,precipitation,4.732467651743473,-57.79643801176276,67.26137331524971
1500,ModE-RA,precipitation,5.93893297067655,-51.66702006385579,63.544886005208895
1600,ModE-RA,precipitation,7.286355569248133,-50.196494099401605,64.76920523789786
1700,ModE-RA,precipitation,-0.10290991558438238,-46.56207349818193,46.35625366701316
1800,ModE-RA,precipitation,-13.1223786243403,-44.68116519195172,18.43640794327112
1400,ModE-Sim,precipitation,-2.2650540634412373,-65.14802919557751,60.617921068695026
1500,ModE-Sim,precipitation,-1.1547324772166006,-63.544263395474324,61.23479844104113
1600,ModE-Sim,precipitation,0.42757548252035554,-62.69077603653422,63.545927001574924
1700,ModE-Sim,precipitation,0.3057149917239277,-63.58005352042292,64.19148350387077
1800,ModE-Sim,precipitation,0.4214420029723348,-63.65060411437796,64.49348812032264
