century,component,posterior_median,q025,q975,climate_var
1000,CHELSA baseline,0.023911134656810162,0.023911134656810162,0.023911134656810162,temperature
1100,CHELSA baseline,0.004866396858613342,0.004866396858613342,0.004866396858613342,temperature
1200,CHELSA baseline,-0.08455550457273375,-0.08455550457273375,-0.08455550457273375,temperature
1300,CHELSA baseline,0.15510534304478618,0.15510534304478618,0.15510534304478618,temperature
1400,CHELSA baseline,-0.36333660356546993,-0.36333660356546993,-0.36333660356546993,temperature
1500,CHELSA baseline,0.018769593211112934,0.018769593211112934,0.018769593211112934,temperature
1600,CHELSA baseline,-0.04626457325740141,-0.04626457325740141,-0.04626457325740141,temperature
1700,CHELSA baseline,0.09309769536487345,0.09309769536487345,0.09309769536487345,temperature
1800,CHELSA baseline,0.19840651825940903,0.19840651825940903,0.19840651825940903,temperature
1000,AR(1) persistence,0,0,0,temperature
1100,AR(1) persistence,-0.2173939020840702,-1.029966208077949,0.38752030485589817,temperature
1200,AR(1) persistence,0.0023378450530370347,-0.6710251174644088,0.6730452678642821,temperature
1300,AR(1) persistence,-0.21382527243938948,-1.0085973455381494,0.4140874129506628,temperature
1400,AR(1) persistence,-0.001117895655867795,-0.7720116086834923,0.7453980511724752,temperature
1500,AR(1) persistence,-0.7419364193788728,-1.8764322136335154,-0.02217972066338412,temperature
1600,AR(1) persistence,-0.8061117873801784,-2.333060799135656,0.28521364833008483,temperature
1700,AR(1) persistence,-1.0004768452732518,-2.3150646730183664,-0.13894099832968695,temperature
1800,AR(1) persistence,-0.9621344844742111,-1.6675016559494065,-0.32580214937044394,temperature
1000,Innovation,-0.3254117107798492,-1.4841389478457807,0.57144236046744,temperature
1100,Innovation,0.23012294078725007,-0.6660387691286277,1.4261446504144142,temperature
1200,Innovation,-0.31384904113460155,-1.5115781924347063,0.6240915145116364,temperature
1300,Innovation,0.21975688245534658,-0.6800669982298855,1.4766634803923853,temperature
1400,Innovation,-1.0495990728086488,-2.6689297593981562,-0.022107942737424547,temperature
1500,Innovation,-0.3622245272177559,-2.1031280446469895,1.2770453040579672,temperature
1600,Innovation,-0.572601157475501,-2.2815884170286607,0.7006068888300099,temperature
1700,Innovation,-0.33278274965306176,-1.2719036593569701,0.8223130384970679,temperature
1800,Innovation,-0.530446637187718,-1.8461977152757463,0.41478246149766174,temperature
