Type,Frequency,Percentage (%),Mean strength,Mean geo. impact,Colour
Famine,98,18.6,1.8877551020408163,2.3775510204081636,#DAA520
Precipitation,59,11.2,1.7627118644067796,1.7288135593220335,#4682B4
Cold-humid osc.,58,11,2.0172413793103448,1.5344827586206895,#483D8B
Locusts,56,10.6,2.0535714285714284,2.089285714285714,#6B8E23
Wind,54,10.2,1.7777777777777777,1.574074074074074,#708090
Flood,49,9.3,1.8636363636363638,1.306122448979592,#1E90FF
Drought,47,8.9,2,1.425531914893617,#D2691E
Hailstorm,40,7.6,1.825,2.125,#B0C4DE
Hot-arid osc.,32,6.1,1.9375,1.8125,#FF6347
Livestock loss,11,2.1,1.9090909090909092,2.272727272727273,#8B4513
Rodents,7,1.3,1.8571428571428572,1.5714285714285714,NA
Shipwreck,6,1.1,1.1666666666666667,1,#191970
Tsunami,4,0.8,1.75,2.5,#00008B
Unspec. calamity,3,0.6,2.3333333333333335,2.6666666666666665,#A9A9A9
Resin fall,2,0.4,1,4,NA
Fireflies,1,0.2,1,3,#9ACD32
